CQID,CQ,scenario
FestSCQ3,What plays could be seen during a certain theatre festival?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ4,In what city is a certain theatre located?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ5,In what country is a certain city located?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ6,What play is the basis of this production?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ7,Who are the members of a certain ensemble at a certain point in time?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ8,What plays did a certain author write?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ9,During what time period was a certain play written?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ10,How many acts does a particular play contain?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ11,When was the premier of a certain production?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ12,What is the “star rating” given by a certain newspaper for a certain production?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ13,At what time did a certain actor start working for a specific theatre?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ14,What roles does a certain person have within a certain production at a certain point in time?,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
FestSCQ15,A production has exactly one premier.,"Theatre productions During each year a number of theatre festivals are held in cities around Italy. In January 2007 a festival called 'Roma Loves Shakespeare' took place in Rome. Two different productions of 'The Merchant of Venice' participated, one from a theatre in Pisa and the other from a theatre institute in Venice, featuring an ensemble of university art students. Other plays were Othello and a Midsummer Night’s Dream.The Grand Theatre in Rome offers two theatre shows each evening during September and October 2009. The play set up in this period is the "Merchant of Venice" given through an ensemble of well-known Italian actors. The Merchant of Venice was written during 1596 to 1598 by William Shakespeare and it has 5 distinct acts. The premier of this production at The Grand Theatre was on September 7. Il Gazzettino gave the setup of the play 5 stars in a recent review. Fabio Bianchi is an Italian actor employed at the theatre since May 2004 he is a part of the ensemble setting up the Merchant of Venice and he plays the Duke of Venice but also a servant in one of the scenes. During the second and third week of September the role of Shylock is played by Arnold Schwarzenegger as a special guest actor."
MusicSCQ1,What instruments does a certain person play?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ2,What are the members of a certain band at a certain point in time?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ3,What role does a certain person have in a certain band at a certain point in time?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ4,During what time period was a certain album recorded?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ5,How many tracks does a particular album contain?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ6,When was a certain album released?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ7,What song is a specific track a recording of?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ8,When was a certain song composed?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ9,What does a certain critic say about a certain record?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ10,When did a certain performance take place?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ11,What songs were played in a certain performance?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ12,Where did a certain performance take place?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ13,In what region is a certain city located?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ14,In what country is a certain region located?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
